A,220215,092320.000,+5836.5613,N,+02430.3112,E,12.48,-00.61,-07.96,-78.40;
A,220215,092321.000,+5836.5587,N,+02430.3080,E,10.72,+00.00,-07.96,-78.40;
A,220215,092322.000,+5836.5563,N,+02430.3053,E,8.962,+00.00,-07.96,-78.40;
A,220215,092323.000,+5836.5543,N,+02430.3032,E,7.992,+00.61,-07.35,-78.40;
A,220215,092324.000,+5836.5527,N,+02430.3009,E,7.622,+00.00,-07.96,-78.40;
A,220215,092325.000,+5836.5515,N,+02430.2976,E,7.662,+00.61,-08.58,-78.40;
A,220215,092326.000,+5836.5508,N,+02430.2936,E,8.512,+00.61,-07.96,-78.40;
A,220215,092326.000,+5836.5508,N,+02430.2936,E,8.512,-01.84,-07.96,-78.40;
A,220215,092328.000,+5836.5506,N,+02430.2831,E,11.22,-00.61,-07.96,-78.40;
A,220215,092329.000,+5836.5508,N,+02430.2768,E,11.93,+00.00,-07.35,-78.40;
A,220215,092330.000,+5836.5514,N,+02430.2706,E,11.93,-00.61,-07.35,-78.40;
A,220215,092331.000,+5836.5521,N,+02430.2640,E,12.76,+00.00,-07.96,-78.40;
A,220215,092332.000,+5836.5528,N,+02430.2567,E,13.82,-01.23,-07.96,-78.40;
A,220215,092333.000,+5836.5540,N,+02430.2494,E,13.86,-00.61,-08.58,-78.40;
A,220215,092334.000,+5836.5547,N,+02430.2420,E,14.15,-01.23,-07.96,-78.40;
A,220215,092335.000,+5836.5553,N,+02430.2343,E,14.22,+00.00,-07.96,-78.40;
A,220215,092336.000,+5836.5563,N,+02430.2269,E,14.45,-01.23,-07.96,-78.40;
A,220215,092336.000,+5836.5563,N,+02430.2269,E,14.45,+00.00,-07.96,-78.40;
A,220215,092338.000,+5836.5578,N,+02430.2113,E,14.92,-01.23,-08.58,-78.40;
A,220215,092339.000,+5836.5588,N,+02430.2040,E,14.70,-00.61,-07.96,-78.40;
A,220215,092339.000,+5836.5588,N,+02430.2040,E,14.70,+00.61,-07.96,-78.40;
A,220215,092341.000,+5836.5607,N,+02430.1903,E,12.46,+00.00,-07.96,-78.40;
A,220215,092342.000,+5836.5610,N,+02430.1857,E,9.106,+00.61,-08.58,-78.40;
A,220215,092343.000,+5836.5609,N,+02430.1818,E,6.896,-00.61,-07.96,-78.40;
A,220215,092344.000,+5836.5608,N,+02430.1792,E,4.786,-00.61,-07.96,-78.40;
A,220215,092345.000,+5836.5607,N,+02430.1777,E,2.926,+00.00,-07.96,-78.40;
A,220215,092346.000,+5836.5608,N,+02430.1771,E,1.906,-00.61,-07.96,-78.40;
A,220215,092347.000,+5836.5608,N,+02430.1769,E,1.516,-00.61,-07.96,-78.40;
A,220215,092348.000,+5836.5610,N,+02430.1769,E,1.016,+00.00,-07.96,-78.40;
A,220215,092349.000,+5836.5615,N,+02430.1771,E,0.956,+00.00,-07.96,-78.40;
A,220215,092350.000,+5836.5613,N,+02430.1769,E,0.626,-00.61,-07.35,-78.40;
A,220215,092351.000,+5836.5611,N,+02430.1768,E,0.786,-00.61,-08.58,-78.40;
A,220215,092352.000,+5836.5609,N,+02430.1766,E,0.966,-01.23,-09.19,-78.40;
A,220215,092353.000,+5836.5611,N,+02430.1761,E,2.946,-03.06,-07.96,-78.40;
A,220215,092354.000,+5836.5627,N,+02430.1749,E,5.456,-05.51,-07.96,-78.40;
A,220215,092355.000,+5836.5626,N,+02430.1719,E,7.016,-01.23,-07.35,-78.40;
A,220215,092356.000,+5836.5613,N,+02430.1689,E,7.296,-01.23,-07.96,-78.40;
A,220215,092357.000,+5836.5594,N,+02430.1671,E,7.226,+00.00,-08.58,-78.40;
A,220215,092358.000,+5836.5573,N,+02430.1664,E,7.586,-01.23,-07.96,-78.40;
A,220215,092359.000,+5836.5549,N,+02430.1660,E,7.906,+00.00,-07.35,-78.40;
A,220215,092400.000,+5836.5528,N,+02430.1656,E,8.996,-01.23,-07.96,-78.40;
A,220215,092401.000,+5836.5505,N,+02430.1648,E,9.696,-01.84,-09.19,-78.40;
A,220215,092401.000,+5836.5505,N,+02430.1648,E,9.696,-01.23,-09.19,-78.40;
A,220215,092403.000,+5836.5438,N,+02430.1621,E,12.13,+00.00,-07.96,-78.40;
A,220215,092404.000,+5836.5400,N,+02430.1610,E,12.52,-00.61,-07.35,-78.40;
A,220215,092405.000,+5836.5363,N,+02430.1594,E,13.20,-00.61,-07.96,-78.40;
A,220215,092406.000,+5836.5318,N,+02430.1570,E,14.62,+00.00,-06.74,-78.40;
A,220215,092407.000,+5836.5264,N,+02430.1547,E,16.12,+00.00,-07.35,-78.40;
A,220215,092408.000,+5836.5204,N,+02430.1517,E,18.35,+00.00,-07.96,-78.40;
A,220215,092409.000,+5836.5141,N,+02430.1483,E,20.21,+00.00,-07.96,-78.40;
A,220215,092410.000,+5836.5082,N,+02430.1451,E,20.68,+00.00,-06.74,-78.40;
A,220215,092411.000,+5836.5028,N,+02430.1424,E,20.52,-01.23,-07.96,-78.40;
A,220215,092412.000,+5836.4971,N,+02430.1395,E,20.71,+00.00,-08.58,-78.40;
A,220215,092413.000,+5836.4916,N,+02430.1365,E,20.43,-01.23,-08.58,-78.40;
A,220215,092414.000,+5836.4859,N,+02430.1334,E,20.62,-01.23,-06.74,-78.40;
A,220215,092415.000,+5836.4801,N,+02430.1300,E,21.56,-01.23,-08.58,-78.40;
A,220215,092416.000,+5836.4740,N,+02430.1267,E,22.20,-01.23,-07.96,-78.40;
A,220215,092417.000,+5836.4680,N,+02430.1239,E,22.42,-01.23,-08.58,-78.40;
A,220215,092418.000,+5836.4619,N,+02430.1207,E,22.41,+00.00,-07.35,-78.40;
A,220215,092419.000,+5836.4554,N,+02430.1171,E,22.98,+00.00,-07.35,-78.40;
A,220215,092420.000,+5836.4490,N,+02430.1138,E,22.56,-00.61,-07.35,-78.40;
A,220215,092421.000,+5836.4424,N,+02430.1104,E,22.62,-01.23,-08.58,-78.40;
A,220215,092422.000,+5836.4356,N,+02430.1072,E,23.25,-00.61,-10.41,-78.40;
A,220215,092423.000,+5836.4287,N,+02430.1035,E,23.89,-01.23,-08.58,-78.40;
A,220215,092424.000,+5836.4221,N,+02430.1000,E,23.95,-00.61,-08.58,-78.40;
A,220215,092425.000,+5836.4160,N,+02430.0966,E,23.70,+00.61,-07.96,-78.40;
